time,relativeAltitude,pressure
27400991,0.000000000,1017.741821289 
27400992,-0.021137238,1017.744812012 
27400993,-0.047561646,1017.747802734 
27400994,-0.100406647,1017.753906250 
27400995,-0.100406647,1017.753906250 
27400996,-0.100406647,1017.754150391 
27400997,-0.100406647,1017.754150391 
27400998,-0.126831055,1017.757019043 
27400999,-0.137401581,1017.758666992 
27401000,-0.216670990,1017.767822266 
27401001,-0.348785400,1017.783813477 
27401002,-0.486186981,1017.800659180 
27401003,-0.665863037,1017.822143555 
27401004,-0.856113434,1017.845336914 
27401005,-0.972373962,1017.858947754 
27401006,-1.051643372,1017.868896484 
27401007,-1.173191071,1017.883666992 
27401008,-1.331729889,1017.902770996 
27401009,-1.495552063,1017.922607422 
27401009,-1.685798645,1017.945190430 
27401010,-1.844337463,1017.964538574 
27401011,-1.971172333,1017.979980469 
27401012,-1.992309570,1017.982116699 
27401013,-1.992309570,1017.982482910 
27401014,-2.050441742,1017.988891602 
27401015,-2.103286743,1017.995361328 
27401016,-2.150848389,1018.001098633 
27401017,-2.256542206,1018.014465332 
27401018,-2.341094971,1018.024414062 
27401019,-2.425651550,1018.034362793 
27401020,-2.573619843,1018.052246094 
27401021,-2.732158661,1018.071655273 
27401022,-2.848419189,1018.085571289 
27401023,-2.922405243,1018.094421387 
27401024,-2.938259125,1018.096313477 
27401024,-2.938259125,1018.096313477 
27401025,-2.938259125,1018.096313477 
27401026,-2.964683533,1018.099487305 
27401027,-3.080944061,1018.113159180 
27401028,-3.239482880,1018.132690430 
27401029,-3.461437225,1018.159545898 
27401030,-3.588272095,1018.174926758 
27401031,-3.715103149,1018.189697266 
27401032,-3.757377625,1018.194824219 
27401033,-3.783802032,1018.198181152 
27401034,-3.799655914,1018.200317383 
27401035,-3.863071442,1018.208129883 
27401036,-3.926486969,1018.215270996 
27401037,-3.968765259,1018.220275879 
27401038,-4.011039734,1018.225830078 
27401038,-4.063888550,1018.232360840 
27401039,-4.106166840,1018.237426758 
27401040,-4.122020721,1018.239135742 
27401041,-4.122020721,1018.239135742 
27401042,-4.127304077,1018.239807129 
27401043,-4.132587433,1018.240295410 
27401044,-4.148441315,1018.241943359 
27401045,-4.153728485,1018.242553711 
27401046,-4.174865723,1018.245544434 
27401047,-4.174865723,1018.245544434 
27401048,-4.148441315,1018.242065430 
27401049,-4.127304077,1018.239868164 
27401050,-4.111450195,1018.237792969 
27401051,-4.079742432,1018.234130859 
27401052,-4.079742432,1018.234130859 
27401053,-4.111450195,1018.237976074 
27401053,-4.137874603,1018.240905762 
27401054,-4.148441315,1018.242309570 
27401055,-4.164295197,1018.244140625 
27401056,-4.180149078,1018.245788574 
27401057,-4.180149078,1018.245788574 
27401058,-4.164295197,1018.244140625 
27401059,-4.137874603,1018.240966797 
27401060,-4.116733551,1018.238281250 
27401061,-4.063888550,1018.232299805 
27401062,-4.005756378,1018.225158691 
27401063,-3.952911377,1018.218383789 
27401064,-3.905349731,1018.213134766 
27401065,-3.878925323,1018.209472656 
27401066,-3.836647034,1018.204589844 
27401067,-3.815509796,1018.201904297 
27401068,-3.815509796,1018.201904297 
27401068,-3.836647034,1018.204467773 
27401069,-3.863071442,1018.207458496 
27401070,-3.863071442,1018.207458496 
27401071,-3.863071442,1018.207458496 
27401072,-3.773231506,1018.196960449 
27401073,-3.672824860,1018.184692383 
27401074,-3.551277161,1018.170166016 
27401075,-3.424446106,1018.154968262 
27401076,-3.371601105,1018.148742676 
27401077,-3.371601105,1018.148742676 
27401078,-3.376884460,1018.149108887 
27401079,-3.435016632,1018.156250000 
27401080,-3.567131042,1018.171936035 
27401081,-3.667541504,1018.184204102 
27401082,-3.730957031,1018.191528320 
27401083,-3.799655914,1018.200073242 
27401083,-3.799655914,1018.200073242 
27401084,-3.767948151,1018.196166992 
27401085,-3.699249268,1018.188354492 
27401086,-3.651687622,1018.182250977 
27401087,-3.588272095,1018.174804688 
27401088,-3.545993805,1018.169860840 
27401089,-3.530139923,1018.167602539 
27401090,-3.530139923,1018.167602539 
27401091,-3.540710449,1018.168701172 
27401092,-3.540710449,1018.169250488 
27401093,-3.572418213,1018.172546387 
27401094,-3.572418213,1018.172851562 
27401095,-3.572418213,1018.172851562 
27401096,-3.604125977,1018.176574707 
27401097,-3.678108215,1018.185729980 
27401097,-3.699249268,1018.188110352 
27401098,-3.757377625,1018.195312500 
27401099,-3.826080322,1018.203186035 
27401100,-3.841934204,1018.205505371 
27401101,-3.873641968,1018.208923340 
27401102,-3.921203613,1018.214660645 
27401103,-3.947624207,1018.218139648 
27401104,-3.952911377,1018.218872070 
27401105,-3.952911377,1018.218872070 
27401106,-3.942340851,1018.217041016 
27401107,-3.889495850,1018.211364746 
27401108,-3.857788086,1018.207092285 
27401109,-3.857788086,1018.206848145 
27401110,-3.857788086,1018.206848145 
27401111,-3.873641968,1018.209289551 
27401112,-3.878925323,1018.209716797 
27401112,-3.884208679,1018.210144043 
27401113,-3.889495850,1018.211181641 
27401114,-3.894779205,1018.211608887 
27401115,-3.900062561,1018.212219238 
27401116,-3.931770325,1018.216003418 
27401117,-3.958194733,1018.219238281 
27401118,-3.963478088,1018.220153809 
27401119,-3.968765259,1018.220458984 
27401120,-3.968765259,1018.220458984 
27401121,-3.968765259,1018.220520020 
27401122,-3.968765259,1018.220520020 
27401123,-3.968765259,1018.220520020 
27401124,-3.974048615,1018.221313477 
27401125,-3.974048615,1018.221313477 
27401126,-3.963478088,1018.219604492 
27401126,-3.963478088,1018.219604492 
27401127,-3.979331970,1018.221679688 
27401128,-3.984619141,1018.222595215 
27401129,-4.000473022,1018.224365234 
27401130,-4.032180786,1018.228210449 
27401131,-4.069171906,1018.232666016 
27401132,-4.069171906,1018.232788086 
27401133,-4.085025787,1018.234802246 
27401134,-4.111450195,1018.237792969 
27401135,-4.111450195,1018.237792969 
27401136,-4.106166840,1018.236999512 
27401137,-4.106166840,1018.236999512 
27401138,-4.106166840,1018.236999512 
27401139,-4.069171906,1018.232910156 
27401140,-3.979331970,1018.222167969 
27401141,-3.884208679,1018.210571289 
27401141,-3.725669861,1018.190979004 
27401142,-3.519569397,1018.166625977 
27401143,-3.334606171,1018.143920898 
27401144,-3.223628998,1018.130981445 
27401145,-3.086231232,1018.114379883 
27401146,-3.017528534,1018.105590820 
27401147,-2.938259125,1018.096069336 
27401148,-2.821998596,1018.082031250 
27401149,-2.647605896,1018.060974121 
27401150,-2.494350433,1018.042541504 
27401151,-2.341094971,1018.024536133 
27401152,-2.214263916,1018.008789062 
27401153,-2.108570099,1017.996520996 
27401154,-2.029300690,1017.986450195 
27401155,-1.965885162,1017.979003906 
27401155,-1.934177399,1017.975524902 
27401156,-1.934177399,1017.975524902 
27401157,-1.955318451,1017.977539062 
27401158,-2.039871216,1017.987731934 
27401159,-2.140277863,1018.000366211 
27401160,-2.214263916,1018.009033203 
27401161,-2.214263916,1018.009155273 
27401162,-2.214263916,1018.009155273 
27401163,-2.150848389,1018.001098633 
27401164,-2.061008453,1017.990356445 
27401165,-2.018733978,1017.985168457 
27401166,-2.018733978,1017.985168457 
27401167,-2.024017334,1017.986083984 
27401168,-2.024017334,1017.986083984 
27401169,-2.013446808,1017.984741211 
27401169,-1.960601807,1017.978149414 
27401170,-1.881332397,1017.968994141 
27401171,-1.733360291,1017.950927734 
27401172,-1.506122589,1017.923706055 
27401173,-1.257743835,1017.893737793 
27401174,-0.924812317,1017.853271484 
27401175,-0.607734680,1017.815185547 
27401176,-0.285369873,1017.776611328 
27401177,-0.047561646,1017.747497559 
27401178,0.126831055,1017.726928711 
27401179,0.232524872,1017.713745117 
27401180,0.306507111,1017.705322266 
27401181,0.327648163,1017.702758789 
27401182,0.354072571,1017.699218750 
27401183,0.385780334,1017.695678711 
27401183,0.385780334,1017.695251465 
27401184,0.428054810,1017.690124512 
27401185,0.438625336,1017.689331055 
27401186,0.465049744,1017.686035156 
27401187,0.465049744,1017.686035156 
27401188,0.354072571,1017.699462891 
27401189,0.269515991,1017.709289551 
27401190,0.221954346,1017.715454102 
27401191,0.142684937,1017.724548340 
27401192,0.079269409,1017.732543945 
27401193,0.079269409,1017.732543945 
27401194,0.084552765,1017.731872559 
27401195,0.084552765,1017.731872559 
27401196,0.079269409,1017.732666016 
27401197,0.079269409,1017.732666016 
27401198,0.079269409,1017.732177734 
27401198,0.079269409,1017.732177734 
27401199,0.084552765,1017.731933594 
27401200,0.084552765,1017.731933594 
