date,time,relativeAltitude,pressure
2018-11-15,17783,0.000000000,1018.109436035 
2018-11-15,17784,-0.100410461,1018.121459961 
2018-11-15,17785,-0.169109344,1018.129760742 
2018-11-15,17786,-0.169109344,1018.129760742 
2018-11-15,17787,-0.084556580,1018.119750977 
2018-11-15,17788,0.000000000,1018.109436035 
2018-11-15,17789,0.021137238,1018.107360840 
2018-11-15,17790,0.026420593,1018.106750488 
2018-11-15,17791,0.073982239,1018.100952148 
2018-11-15,17792,0.121547699,1018.095031738 
2018-11-15,17793,0.206100464,1018.084777832 
2018-11-15,17794,0.301223755,1018.073181152 
2018-11-15,17795,0.480899811,1018.051696777 
2018-11-15,17796,0.697570801,1018.025268555 
2018-11-15,17797,0.930095673,1017.997375488 
2018-11-15,17798,1.178474426,1017.967529297 
2018-11-15,17798,1.442707062,1017.935852051 
2018-11-15,17799,1.659374237,1017.909851074 
2018-11-15,17800,1.860191345,1017.885192871 
2018-11-15,17801,2.071578979,1017.860107422 
2018-11-15,17802,2.261825562,1017.836975098 
2018-11-15,17803,2.494350433,1017.808715820 
2018-11-15,17804,2.774433136,1017.775207520 
2018-11-15,17805,3.065090179,1017.740112305 
2018-11-15,17806,3.339889526,1017.706787109 
2018-11-15,17807,3.577701569,1017.678527832 
2018-11-15,17808,3.752094269,1017.657348633 
2018-11-15,17809,3.900062561,1017.639648438 
2018-11-15,17810,4.037464142,1017.623046875 
2018-11-15,17811,4.206573486,1017.602661133 
2018-11-15,17812,4.396820068,1017.579833984 
2018-11-15,17813,4.634628296,1017.551147461 
2018-11-15,17813,4.867153168,1017.522521973 
2018-11-15,17814,5.110244751,1017.493347168 
2018-11-15,17815,5.326915741,1017.467651367 
2018-11-15,17816,5.496025085,1017.447387695 
2018-11-15,17817,5.665134430,1017.426635742 
2018-11-15,17818,5.855381012,1017.403808594 
2018-11-15,17819,6.040340424,1017.381713867 
2018-11-15,17820,6.241157532,1017.357421875 
2018-11-15,17821,6.489536285,1017.327392578 
2018-11-15,17822,6.743198395,1017.296386719 
2018-11-15,17823,6.970439911,1017.269592285 
2018-11-15,17824,7.171253204,1017.245117188 
2018-11-15,17825,7.324508667,1017.226318359 
2018-11-15,17826,7.435485840,1017.213134766 
2018-11-15,17827,7.472480774,1017.209106445 
2018-11-15,17827,7.483047485,1017.207763672 
2018-11-15,17828,7.483047485,1017.207641602 
2018-11-15,17829,7.483047485,1017.207641602 
2018-11-15,17830,7.483047485,1017.207641602 
2018-11-15,17831,7.493618011,1017.206542969 
2018-11-15,17832,7.557033539,1017.198608398 
2018-11-15,17833,7.615165710,1017.191711426 
2018-11-15,17834,7.673294067,1017.184448242 
2018-11-15,17835,7.689147949,1017.182556152 
2018-11-15,17836,7.689147949,1017.182556152 
2018-11-15,17837,7.673294067,1017.184570312 
2018-11-15,17838,7.652156830,1017.187377930 
2018-11-15,17839,7.631019592,1017.189392090 
2018-11-15,17840,7.631019592,1017.190002441 
2018-11-15,17841,7.631019592,1017.189392090 
2018-11-15,17842,7.641586304,1017.188415527 
2018-11-15,17842,7.641586304,1017.188415527 
2018-11-15,17843,7.620449066,1017.190673828 
2018-11-15,17844,7.557033539,1017.198730469 
2018-11-15,17845,7.551750183,1017.199218750 
2018-11-15,17846,7.541179657,1017.200805664 
