date,isStair,value
2018-11-17 18:27:04,1,9
2018-11-17 18:27:05,1,9
2018-11-17 18:27:06,1,9
2018-11-17 18:27:07,1,9
2018-11-17 18:27:08,1,9
2018-11-17 18:27:09,1,9
2018-11-17 18:27:10,1,9
2018-11-17 18:27:11,1,9
2018-11-17 18:27:12,1,9
2018-11-17 18:27:13,1,9
2018-11-17 18:27:14,1,9
2018-11-17 18:27:15,1,9
2018-11-17 18:27:16,1,9
2018-11-17 18:27:17,1,9
2018-11-17 18:27:18,1,9
2018-11-17 18:27:19,1,9
2018-11-17 18:27:20,1,9
2018-11-17 18:27:21,1,9
2018-11-17 18:27:22,1,9
2018-11-17 18:27:23,1,9
2018-11-17 18:27:24,1,9
2018-11-17 18:27:25,1,9
2018-11-17 18:27:26,1,9
2018-11-17 18:27:27,1,9
2018-11-17 18:27:28,1,9
2018-11-17 18:27:29,1,9
2018-11-17 18:27:30,1,9
2018-11-17 18:27:31,1,9
2018-11-17 18:27:32,1,9
2018-11-17 18:27:33,1,9
2018-11-17 18:27:34,1,9
2018-11-17 18:27:35,1,9
2018-11-17 18:27:36,1,9
2018-11-17 18:27:37,1,9
2018-11-17 18:27:38,1,9
2018-11-17 18:27:39,1,9
2018-11-17 18:27:40,1,9
2018-11-17 18:27:41,1,9
2018-11-17 18:27:42,1,9
2018-11-17 18:27:43,1,9
2018-11-17 18:27:44,1,9
2018-11-17 18:27:45,1,9
2018-11-17 18:27:46,1,9
2018-11-17 18:27:47,1,9
2018-11-17 18:27:48,1,9
2018-11-17 18:27:49,1,9
2018-11-17 18:27:50,1,9
2018-11-17 18:27:51,1,9
2018-11-17 18:27:52,1,9
2018-11-17 18:27:53,1,9
2018-11-17 18:27:54,1,9
2018-11-17 18:27:55,1,9
2018-11-17 18:27:56,1,9
2018-11-17 18:27:57,1,9
2018-11-17 18:27:58,1,9
2018-11-17 18:27:59,1,9
2018-11-17 18:28:00,1,9
2018-11-17 18:28:01,1,9
2018-11-17 18:28:02,1,9
2018-11-17 18:28:03,1,9
2018-11-17 18:28:04,1,9
2018-11-17 18:28:05,1,9
2018-11-17 18:28:06,1,9
2018-11-17 18:28:07,1,9
2018-11-17 18:28:08,1,9
2018-11-17 18:28:09,1,9
2018-11-17 18:28:10,1,9
2018-11-17 18:28:11,1,9
2018-11-17 18:28:12,1,9
2018-11-17 18:28:13,1,9
2018-11-17 18:28:14,1,9
2018-11-17 18:28:15,1,9
2018-11-17 18:28:16,1,9
2018-11-17 18:28:17,1,9
2018-11-17 18:28:18,1,9
2018-11-17 18:28:19,1,9
2018-11-17 18:28:20,1,9
2018-11-17 18:28:21,1,9
2018-11-17 18:28:22,1,9
2018-11-17 18:28:23,1,9
2018-11-17 18:28:24,1,9
2018-11-17 18:28:25,1,9
2018-11-17 18:28:26,1,9
2018-11-17 18:28:27,1,9
2018-11-17 18:28:28,1,9
2018-11-17 18:28:29,1,9
2018-11-17 18:28:30,1,9
2018-11-17 18:28:31,1,9
2018-11-17 18:28:32,1,9
2018-11-17 18:28:33,1,9
2018-11-17 18:28:34,1,9
2018-11-17 18:28:35,1,9
2018-11-17 18:28:36,1,9
2018-11-17 18:28:37,1,9
2018-11-17 18:28:38,1,9
2018-11-17 18:28:39,1,9
2018-11-17 18:28:40,1,9
2018-11-17 18:28:41,1,9
2018-11-17 18:28:42,1,9
2018-11-17 18:28:43,1,9
2018-11-17 18:28:44,1,9
2018-11-17 18:28:45,1,9
2018-11-17 18:28:46,1,9
