date,relativeAltitude,pressure
2018-11-17 18:57:20,0.000000000,1015.254150391 
2018-11-17 18:57:21,-0.026422501,1015.257019043 
2018-11-17 18:57:22,0.000000000,1015.254150391 
2018-11-17 18:57:23,-0.031707764,1015.257873535 
2018-11-17 18:57:24,-0.031707764,1015.257873535 
2018-11-17 18:57:25,-0.047561646,1015.259704590 
2018-11-17 18:57:26,-0.047561646,1015.259704590 
2018-11-17 18:57:27,-0.068700790,1015.261962891 
2018-11-17 18:57:28,-0.068700790,1015.262207031 
2018-11-17 18:57:29,-0.079269409,1015.263671875 
2018-11-17 18:57:30,-0.100408554,1015.266052246 
2018-11-17 18:57:30,-0.105691910,1015.266784668 
2018-11-17 18:57:31,-0.105691910,1015.266845703 
2018-11-17 18:57:32,-0.137399673,1015.270263672 
2018-11-17 18:57:33,-0.142684937,1015.270751953 
2018-11-17 18:57:34,-0.147970200,1015.271728516 
2018-11-17 18:57:35,-0.206100464,1015.278686523 
2018-11-17 18:57:36,-0.264232635,1015.285400391 
2018-11-17 18:57:37,-0.343502045,1015.295349121 
2018-11-17 18:57:38,-0.465047836,1015.309997559 
2018-11-17 18:57:39,-0.597164154,1015.325439453 
2018-11-17 18:57:40,-0.766273499,1015.346069336 
2018-11-17 18:57:41,-0.908958435,1015.363464355 
2018-11-17 18:57:42,-1.009366989,1015.375366211 
2018-11-17 18:57:43,-1.056928635,1015.381347656 
2018-11-17 18:57:43,-1.088636398,1015.384826660 
2018-11-17 18:57:44,-1.088636398,1015.384826660 
2018-11-17 18:57:45,-1.088636398,1015.384826660 
2018-11-17 18:57:46,-1.088636398,1015.385131836 
2018-11-17 18:57:47,-1.099205017,1015.386047363 
2018-11-17 18:57:48,-1.099205017,1015.386291504 
2018-11-17 18:57:49,-1.109773636,1015.387512207 
2018-11-17 18:57:50,-1.115058899,1015.388183594 
2018-11-17 18:57:51,-1.141481400,1015.391540527 
2018-11-17 18:57:52,-1.173189163,1015.395202637 
2018-11-17 18:57:53,-1.189043045,1015.396850586 
2018-11-17 18:57:54,-1.215467453,1015.400268555 
2018-11-17 18:57:55,-1.215467453,1015.400268555 
2018-11-17 18:57:56,-1.210182190,1015.399841309 
2018-11-17 18:57:56,-1.210182190,1015.399841309 
2018-11-17 18:57:57,-1.220750809,1015.400695801 
2018-11-17 18:57:58,-1.231321335,1015.402221680 
2018-11-17 18:57:59,-1.247175217,1015.404296875 
2018-11-17 18:58:00,-1.294736862,1015.409545898 
2018-11-17 18:58:01,-1.310590744,1015.411682129 
2018-11-17 18:58:02,-1.363437653,1015.417602539 
2018-11-17 18:58:03,-1.379291534,1015.419677734 
2018-11-17 18:58:04,-1.395145416,1015.421691895 
2018-11-17 18:58:05,-1.405714035,1015.422851562 
2018-11-17 18:58:06,-1.405714035,1015.422973633 
2018-11-17 18:58:07,-1.421567917,1015.424743652 
2018-11-17 18:58:08,-1.469129562,1015.430664062 
2018-11-17 18:58:09,-1.527259827,1015.437927246 
2018-11-17 18:58:09,-1.553684235,1015.440673828 
2018-11-17 18:58:10,-1.585391998,1015.445007324 
2018-11-17 18:58:11,-1.638238907,1015.450927734 
2018-11-17 18:58:12,-1.654092789,1015.452880859 
2018-11-17 18:58:13,-1.664661407,1015.454467773 
2018-11-17 18:58:14,-1.691083908,1015.457214355 
2018-11-17 18:58:15,-1.712223053,1015.459655762 
2018-11-17 18:58:16,-1.743930817,1015.463806152 
2018-11-17 18:58:17,-1.802061081,1015.470886230 
2018-11-17 18:58:18,-1.854907990,1015.477233887 
2018-11-17 18:58:19,-1.902469635,1015.482849121 
2018-11-17 18:58:20,-1.960601807,1015.489624023 
2018-11-17 18:58:21,-2.002878189,1015.494995117 
2018-11-17 18:58:22,-2.034585953,1015.498596191 
2018-11-17 18:58:22,-2.050439835,1015.500793457 
2018-11-17 18:58:23,-2.061008453,1015.501708984 
2018-11-17 18:58:24,-2.061008453,1015.501708984 
2018-11-17 18:58:25,-2.071578979,1015.503417969 
2018-11-17 18:58:26,-2.092716217,1015.505493164 
2018-11-17 18:58:27,-2.145563126,1015.512023926 
2018-11-17 18:58:28,-2.230117798,1015.522521973 
2018-11-17 18:58:29,-2.351663589,1015.536743164 
2018-11-17 18:58:30,-2.515487671,1015.556579590 
2018-11-17 18:58:31,-2.647603989,1015.572570801 
2018-11-17 18:58:32,-2.753297806,1015.585388184 
2018-11-17 18:58:33,-2.827281952,1015.594177246 
2018-11-17 18:58:34,-2.895982742,1015.602661133 
2018-11-17 18:58:35,-2.996391296,1015.614257812 
2018-11-17 18:58:35,-3.070375443,1015.623535156 
2018-11-17 18:58:36,-3.154930115,1015.633300781 
2018-11-17 18:58:37,-3.239484787,1015.643615723 
2018-11-17 18:58:38,-3.318754196,1015.653442383 
2018-11-17 18:58:39,-3.408592224,1015.663818359 
2018-11-17 18:58:40,-3.503715515,1015.675354004 
2018-11-17 18:58:41,-3.614692688,1015.688720703 
2018-11-17 18:58:42,-3.720386505,1015.701843262 
2018-11-17 18:58:43,-3.831363678,1015.714721680 
2018-11-17 18:58:44,-3.942340851,1015.728515625 
2018-11-17 18:58:45,-4.053318024,1015.741882324 
2018-11-17 18:58:46,-4.159011841,1015.754394531 
2018-11-17 18:58:47,-4.259418488,1015.766357422 
2018-11-17 18:58:48,-4.370397568,1015.780151367 
2018-11-17 18:58:48,-4.491943359,1015.794433594 
2018-11-17 18:58:49,-4.608205795,1015.808715820 
2018-11-17 18:58:50,-4.745605469,1015.825134277 
