,index,Unnamed: 0,time,relativeAltitude,pressure
0,0,0,27400991,0.0,1017.741821289
1,1,1,27400992,-0.021137238,1017.744812012
2,2,2,27400993,-0.047561646,1017.747802734
3,3,3,27400994,-0.100406647,1017.75390625
4,4,4,27400995,-0.100406647,1017.75390625
5,5,5,27400996,-0.100406647,1017.754150391
6,6,6,27400997,-0.100406647,1017.754150391
7,7,7,27400998,-0.126831055,1017.757019043
8,8,8,27400999,-0.137401581,1017.7586669919999
9,9,9,27401000,-0.21667099,1017.767822266
10,10,10,27401001,-0.3487854,1017.783813477
11,11,11,27401002,-0.486186981,1017.80065918
12,12,12,27401003,-0.665863037,1017.822143555
13,13,13,27401004,-0.8561134340000001,1017.845336914
14,14,14,27401005,-0.972373962,1017.8589477539999
15,15,15,27401006,-1.051643372,1017.868896484
16,16,16,27401007,-1.173191071,1017.8836669919999
17,17,17,27401008,-1.331729889,1017.9027709960001
18,18,18,27401009,-1.590675354,1017.9338989260001
19,19,19,27401010,-1.844337463,1017.9645385739999
20,20,20,27401011,-1.971172333,1017.9799804689999
21,21,21,27401012,-1.99230957,1017.9821166989999
22,22,22,27401013,-1.99230957,1017.98248291
23,23,23,27401014,-2.050441742,1017.988891602
24,24,24,27401015,-2.103286743,1017.9953613280001
25,25,25,27401016,-2.150848389,1018.0010986330001
26,26,26,27401017,-2.256542206,1018.014465332
27,27,27,27401018,-2.341094971,1018.024414062
28,28,28,27401019,-2.42565155,1018.034362793
29,29,29,27401020,-2.573619843,1018.0522460939999
30,30,30,27401021,-2.732158661,1018.071655273
31,31,31,27401022,-2.848419189,1018.085571289
32,32,32,27401023,-2.922405243,1018.094421387
33,33,33,27401024,-2.938259125,1018.096313477
34,34,34,27401025,-2.938259125,1018.096313477
35,35,35,27401026,-2.964683533,1018.099487305
36,36,36,27401027,-3.0809440610000003,1018.11315918
37,37,37,27401028,-3.23948288,1018.13269043
38,38,38,27401029,-3.461437225,1018.159545898
39,39,39,27401030,-3.588272095,1018.1749267580001
40,40,40,27401031,-3.715103149,1018.189697266
41,41,41,27401032,-3.757377625,1018.1948242189999
42,42,42,27401033,-3.783802032,1018.198181152
43,43,43,27401034,-3.799655914,1018.2003173830001
44,44,44,27401035,-3.863071442,1018.2081298830001
45,45,45,27401036,-3.926486969,1018.2152709960001
46,46,46,27401037,-3.968765259,1018.2202758789999
47,47,47,27401038,-4.037464141999998,1018.229095459
48,48,48,27401039,-4.10616684,1018.2374267580001
49,49,49,27401040,-4.122020721,1018.2391357419999
50,50,50,27401041,-4.122020721,1018.2391357419999
51,51,51,27401042,-4.127304077,1018.2398071289999
52,52,52,27401043,-4.132587433,1018.24029541
53,53,53,27401044,-4.148441315,1018.241943359
54,54,54,27401045,-4.153728485,1018.242553711
55,55,55,27401046,-4.174865723,1018.245544434
56,56,56,27401047,-4.174865723,1018.245544434
57,57,57,27401048,-4.148441315,1018.24206543
58,58,58,27401049,-4.127304077,1018.239868164
59,59,59,27401050,-4.111450195,1018.2377929689999
60,60,60,27401051,-4.079742432,1018.234130859
61,61,61,27401052,-4.079742432,1018.234130859
62,62,62,27401053,-4.124662399,1018.239440918
63,63,63,27401054,-4.148441315,1018.24230957
64,64,64,27401055,-4.164295197,1018.244140625
65,65,65,27401056,-4.180149078,1018.2457885739999
66,66,66,27401057,-4.180149078,1018.2457885739999
67,67,67,27401058,-4.164295197,1018.244140625
68,68,68,27401059,-4.137874603,1018.2409667969999
69,69,69,27401060,-4.116733551,1018.23828125
70,70,70,27401061,-4.06388855,1018.232299805
71,71,71,27401062,-4.005756378,1018.225158691
72,72,72,27401063,-3.952911377,1018.218383789
73,73,73,27401064,-3.905349731,1018.213134766
74,74,74,27401065,-3.878925323,1018.2094726560001
75,75,75,27401066,-3.836647034,1018.2045898439999
76,76,76,27401067,-3.815509796,1018.2019042969999
77,77,77,27401068,-3.826078415,1018.203186035
78,78,78,27401069,-3.863071442,1018.2074584960001
79,79,79,27401070,-3.863071442,1018.2074584960001
80,80,80,27401071,-3.863071442,1018.2074584960001
81,81,81,27401072,-3.773231506,1018.1969604489999
82,82,82,27401073,-3.67282486,1018.1846923830001
83,83,83,27401074,-3.551277161,1018.170166016
84,84,84,27401075,-3.4244461060000004,1018.154968262
85,85,85,27401076,-3.371601105,1018.1487426760001
86,86,86,27401077,-3.371601105,1018.1487426760001
87,87,87,27401078,-3.37688446,1018.149108887
88,88,88,27401079,-3.435016632,1018.15625
89,89,89,27401080,-3.567131042,1018.171936035
90,90,90,27401081,-3.667541504,1018.184204102
91,91,91,27401082,-3.730957031,1018.19152832
92,92,92,27401083,-3.799655914,1018.2000732419999
93,93,93,27401084,-3.767948151,1018.1961669919999
94,94,94,27401085,-3.699249268,1018.1883544919999
95,95,95,27401086,-3.651687622,1018.182250977
96,96,96,27401087,-3.588272095,1018.174804688
97,97,97,27401088,-3.545993805,1018.16986084
98,98,98,27401089,-3.530139923,1018.167602539
99,99,99,27401090,-3.530139923,1018.167602539
100,100,100,27401091,-3.540710449,1018.1687011719999
101,101,101,27401092,-3.540710449,1018.169250488
102,102,102,27401093,-3.572418213,1018.172546387
103,103,103,27401094,-3.572418213,1018.172851562
104,104,104,27401095,-3.572418213,1018.172851562
105,105,105,27401096,-3.604125977,1018.176574707
106,106,106,27401097,-3.6886787415,1018.186920166
107,107,107,27401098,-3.757377625,1018.1953125
108,108,108,27401099,-3.826080322,1018.203186035
109,109,109,27401100,-3.841934204,1018.2055053710001
110,110,110,27401101,-3.873641968,1018.20892334
111,111,111,27401102,-3.921203613,1018.214660645
112,112,112,27401103,-3.947624207,1018.218139648
113,113,113,27401104,-3.952911377,1018.21887207
114,114,114,27401105,-3.952911377,1018.21887207
115,115,115,27401106,-3.942340851,1018.217041016
116,116,116,27401107,-3.88949585,1018.2113647460001
117,117,117,27401108,-3.857788086,1018.207092285
118,118,118,27401109,-3.857788086,1018.206848145
119,119,119,27401110,-3.857788086,1018.206848145
120,120,120,27401111,-3.873641968,1018.2092895510001
121,121,121,27401112,-3.881567001,1018.20993042
122,122,122,27401113,-3.88949585,1018.211181641
123,123,123,27401114,-3.894779205,1018.211608887
124,124,124,27401115,-3.900062561,1018.212219238
125,125,125,27401116,-3.931770325,1018.216003418
126,126,126,27401117,-3.958194733,1018.2192382810001
127,127,127,27401118,-3.963478088,1018.220153809
128,128,128,27401119,-3.968765259,1018.220458984
129,129,129,27401120,-3.968765259,1018.220458984
130,130,130,27401121,-3.968765259,1018.22052002
131,131,131,27401122,-3.968765259,1018.22052002
132,132,132,27401123,-3.968765259,1018.22052002
133,133,133,27401124,-3.974048615,1018.221313477
134,134,134,27401125,-3.974048615,1018.221313477
135,135,135,27401126,-3.963478088,1018.2196044919999
136,136,136,27401127,-3.97933197,1018.221679688
137,137,137,27401128,-3.984619141,1018.222595215
138,138,138,27401129,-4.000473022,1018.224365234
139,139,139,27401130,-4.0321807860000005,1018.2282104489999
140,140,140,27401131,-4.069171906,1018.232666016
141,141,141,27401132,-4.069171906,1018.232788086
142,142,142,27401133,-4.085025787,1018.2348022460001
143,143,143,27401134,-4.111450195,1018.2377929689999
144,144,144,27401135,-4.111450195,1018.2377929689999
145,145,145,27401136,-4.10616684,1018.236999512
146,146,146,27401137,-4.10616684,1018.236999512
147,147,147,27401138,-4.10616684,1018.236999512
148,148,148,27401139,-4.069171906,1018.2329101560001
149,149,149,27401140,-3.97933197,1018.2221679689999
150,150,150,27401141,-3.80493927,1018.2007751465
