,time,relativeAltitude,pressure
0,28816,0.0,1021.04699707
1,28817,0.010574341000000001,1021.0454101560001
2,28818,0.0,1021.04699707
3,28819,-0.021133423,1021.0491333010001
4,28820,-0.021133423,1021.0491333010001
5,28821,0.285369873,1021.0122070310001
6,28822,0.502044678,1020.985961914
7,28823,0.512611389,1020.984619141
8,28824,0.7874145509999999,1020.9515991210001
9,28825,1.115062714,1020.911987305
10,28826,1.374008179,1020.8803710939999
11,28827,1.654094696,1020.8469238280001
12,28828,1.90247345,1020.81652832
13,28829,2.134998322,1020.788696289
14,28830,2.372806549,1020.75982666
15,28831,2.557769775,1020.737365723
16,28832,2.806146622,1020.707458496
17,28833,3.0915184019999997,1020.6727294919999
18,28834,3.2606239319999997,1020.6527709960001
19,28835,3.4033088680000003,1020.6356201169999
20,28836,3.4931488039999996,1020.6245117189999
21,28837,3.524856567,1020.620483398
22,28838,3.524856567,1020.620483398
23,28839,3.514286041,1020.622009277
24,28840,3.4931488039999996,1020.624389648
25,28841,3.4931488039999996,1020.624389648
26,28842,3.4931488039999996,1020.624389648
27,28843,3.466724396,1020.6274414060001
28,28844,3.440303802,1020.630737305
29,28845,3.4033088680000003,1020.6352539060001
30,28846,3.1628589629999997,1020.6644592285
31,28847,2.885414124,1020.6981201169999
32,28848,2.726875305,1020.7172851560001
33,28849,2.615898132,1020.73059082
34,28850,2.615898132,1020.73059082
35,28851,2.6211853030000003,1020.7299804689999
36,28852,2.6211853030000003,1020.7299804689999
37,28853,2.5736236569999997,1020.735717773
38,28854,2.552482605,1020.738220215
39,28855,2.520774841,1020.7421875
40,28856,2.520774841,1020.7421875
41,28857,2.5313453669999997,1020.740478516
42,28858,2.5313453669999997,1020.740478516
43,28859,2.499637604,1020.7445678710001
44,28860,2.441505432,1020.7514038085001
45,28861,2.356952667,1020.7620239260001
46,28862,2.288249969,1020.7700195310001
47,28863,2.288249969,1020.770141602
48,28864,2.277683258,1020.77154541
49,28865,2.261829376,1020.773193359
50,28866,2.203697205,1020.780578613
51,28867,2.140281677,1020.787658691
52,28868,2.0557289119999997,1020.798034668
53,28869,1.992313385,1020.805969238
54,28870,1.854911804,1020.822631836
55,28871,1.706939697,1020.8405761719999
56,28872,1.5801086430000002,1020.855651855
57,28873,1.384578705,1020.879272461
58,28874,1.183761597,1020.903381348
59,28875,0.9697341915000001,1020.9295654294999
60,28876,0.750419617,1020.955871582
61,28877,0.628875732,1020.970703125
62,28878,0.5284652710000001,1020.982543945
63,28879,0.41220092799999997,1020.996765137
64,28880,0.31707763699999997,1021.008422852
65,28881,0.227241516,1021.019348145
66,28882,0.132118225,1021.030578613
67,28883,-0.005279541,1021.047241211
68,28884,-0.11097717300000001,1021.059936523
69,28885,-0.22195434600000002,1021.073608398
70,28886,-0.354064941,1021.0893554689999
71,28887,-0.49147033700000003,1021.106445312
72,28888,-0.681716919,1021.1290283205001
73,28889,-0.887817383,1021.154296875
74,28890,-1.019935608,1021.17010498
75,28891,-1.141479492,1021.1848144530001
76,28892,-1.268310547,1021.200012207
77,28893,-1.352867126,1021.210021973
78,28894,-1.55368042,1021.234375
79,28895,-1.6593780519999999,1021.247497559
80,28896,-1.72807312,1021.255981445
81,28897,-1.8284835819999998,1021.26776123
82,28898,-1.971168518,1021.284912109
83,28899,-2.076858521,1021.297851562
84,28900,-2.230117798,1021.316162109
85,28901,-2.409790039,1021.33782959
86,28902,-2.5260543825,1021.351928711
87,28903,-2.605323792,1021.361938477
88,28904,-2.605323792,1021.361938477
89,28905,-2.631744385,1021.3647460939999
90,28906,-2.726875305,1021.376342773
91,28907,-2.7321548460000002,1021.376831055
92,28908,-2.737442017,1021.377868652
93,28909,-2.737442017,1021.377868652
94,28910,-2.7321548460000002,1021.37701416
95,28911,-2.7321548460000002,1021.37701416
96,28912,-2.7427291869999997,1021.378295898
97,28913,-2.7427291869999997,1021.378295898
98,28914,-2.737442017,1021.377868652
99,28915,-2.7321548460000002,1021.376708984
100,28916,-2.6819496155,1021.3709106445001
101,28917,-2.663452148,1021.368347168
102,28918,-2.631744385,1021.3647460939999
103,28919,-2.626464844,1021.3643798830001
104,28920,-2.584182739,1021.3588867189999
105,28921,-2.494346619,1021.348266602
106,28922,-2.462638855,1021.3444824219999
107,28923,-2.319953918,1021.327209473
108,28924,-2.145561218,1021.306030273
109,28925,-1.960601807,1021.2836303710001
110,28926,-1.722793579,1021.254821777
111,28927,-1.495552063,1021.227539062
112,28928,-1.29473114,1021.202880859
113,28929,-1.078063965,1021.1772460939999
114,28930,-0.959159851,1021.162475586
115,28931,-0.935379028,1021.1596679689999
116,28932,-0.9829406740000001,1021.165405273
117,28933,-0.993507385,1021.167053223
118,28934,-1.004081726,1021.168151855
119,28935,-1.004081726,1021.16784668
120,28936,-1.004081726,1021.16784668
121,28937,-0.961799622,1021.162780762
122,28938,-0.9195251459999999,1021.1578979489999
123,28939,-0.9195251459999999,1021.1578979489999
124,28940,-0.924812317,1021.15838623
125,28941,-0.95123291,1021.161743164
126,28942,-1.004081726,1021.167907715
127,28943,-1.014648438,1021.168945312
128,28944,-0.9433059695,1021.160644531
129,28945,-0.856109619,1021.15020752
130,28946,-0.845542908,1021.148803711
131,28947,-0.8296890259999999,1021.146606445
